id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1396818263733047296,1396818263733047296,2021-05-24 08:20:00 Hora de verano central (México),2021-05-24,08:20:00,-0500,44728980,ancalerts,ABS-CBN News Channel,,"Crypto miners halt China business after Beijing cracks down, bitcoin tumbles  https://t.co/BycLYmVm3Q",en,[],['https://bit.ly/3wuCsad'],[],0,4,8,[],[],https://twitter.com/ANCALERTS/status/1396818263733047296,False,,0,,,,,,,,[],,,,
1396715083204603908,1396715083204603908,2021-05-24 01:30:00 Hora de verano central (México),2021-05-24,01:30:00,-0500,44728980,ancalerts,ABS-CBN News Channel,,Knowledge on fundamentals to help crypto traders ride volatility  https://t.co/wTqwXvNn6B,en,[],['https://bit.ly/3oIIfpW'],[],0,2,3,[],[],https://twitter.com/ANCALERTS/status/1396715083204603908,False,,0,,,,,,,,[],,,,
1392673452054781955,1392673452054781955,2021-05-12 21:50:00 Hora de verano central (México),2021-05-12,21:50:00,-0500,44728980,ancalerts,ABS-CBN News Channel,,Facebook-backed crypto project Diem shifts to US  https://t.co/draXmReVzF,en,[],['https://bit.ly/3eIhUoB'],[],0,3,6,[],[],https://twitter.com/ANCALERTS/status/1392673452054781955,False,,0,,,,,,,,[],,,,
1390194058694324225,1390193997226733569,2021-05-06 01:37:46 Hora de verano central (México),2021-05-06,01:37:46,-0500,44728980,ancalerts,ABS-CBN News Channel,,"@wddeguzman BSP: However, there are other factors to consider including capacity building and BSP readiness to manage risks related to crypto. | via @wddeguzman",en,"[{'screen_name': 'wddeguzman', 'name': 'warren de guzman', 'id': '48330559'}]",[],[],0,0,6,[],[],https://twitter.com/ANCALERTS/status/1390194058694324225,False,,0,,,,,,,,"[{'screen_name': 'wddeguzman', 'name': 'Warren de Guzman', 'id': '48330559'}]",,,,
1386069940701077505,1386069940701077505,2021-04-24 16:30:00 Hora de verano central (México),2021-04-24,16:30:00,-0500,44728980,ancalerts,ABS-CBN News Channel,,Turkey probes second crypto exchange as market implodes   https://t.co/QTUxDufDBZ,en,[],['https://bit.ly/2S1Rg19'],[],0,0,9,[],[],https://twitter.com/ANCALERTS/status/1386069940701077505,False,,0,,,,,,,,[],,,,
1371997885542232073,1371992372641361921,2021-03-16 19:32:41 Hora estándar central (México),2021-03-16,19:32:41,-0500,44728980,ancalerts,ABS-CBN News Channel,,"@michelle_d_ong Moneybees CEO Paulo del Puerto: We don't have digital app; we only offer over-the-counter service in our 7 outlets to allow cryptocurrency users to cash in, cash out using their own crypto trading platform like Binance | via @michelle_d_ong #MarketEdge  https://t.co/geH6oMtNEo",en,"[{'screen_name': 'michelle_d_ong', 'name': 'michelle krystle ong', 'id': '616166780'}]",[],['https://pbs.twimg.com/media/EwpQe_qU8AMd-BU.png'],1,0,3,['marketedge'],[],https://twitter.com/ANCALERTS/status/1371997885542232073,False,,1,https://pbs.twimg.com/media/EwpQe_qU8AMd-BU.png,,,,,,,"[{'screen_name': 'michelle_d_ong', 'name': 'Michelle Krystle Ong', 'id': '616166780'}]",,,,
1352078192035549184,1352061582826643457,2021-01-20 20:18:56 Hora estándar central (México),2021-01-20,20:18:56,-0500,44728980,ancalerts,ABS-CBN News Channel,,"@michelle_d_ong #MarketEdge Noble: Under Biden era, we expect developments in a crypto-based lending system and budding derivatives market; central banks/ govts expected to develop their own stable coins too; volatility not necessarily a bad thing | via @michelle_d_ong",en,"[{'screen_name': 'michelle_d_ong', 'name': 'michelle krystle ong', 'id': '616166780'}]",[],[],1,0,3,['marketedge'],[],https://twitter.com/ANCALERTS/status/1352078192035549184,False,,0,,,,,,,,"[{'screen_name': 'michelle_d_ong', 'name': 'Michelle Krystle Ong', 'id': '616166780'}]",,,,
1332105605192904705,1332105605192904705,2020-11-26 17:35:00 Hora estándar central (México),2020-11-26,17:35:00,-0500,44728980,ancalerts,ABS-CBN News Channel,,"Crypto exchange Coinbase hit by connection, latency problems as bitcoin plummets  https://t.co/WtwthKMopC",en,[],['https://bit.ly/2V8U6Q2'],[],0,3,5,[],[],https://twitter.com/ANCALERTS/status/1332105605192904705,False,,0,,,,,,,,[],,,,
1276404828500099073,1276404828500099073,2020-06-26 01:40:00 Hora de verano central (México),2020-06-26,01:40:00,-0500,44728980,ancalerts,ABS-CBN News Channel,,"Thailand targets narco millions hidden in gold, steel and crypto  https://t.co/fxJ5aCZW73",en,[],['https://bit.ly/2NuJrvj'],[],0,2,3,[],[],https://twitter.com/ANCALERTS/status/1276404828500099073,False,,0,,,,,,,,[],,,,
1168355363315486725,1168355363315486725,2019-09-01 21:50:00 Hora de verano central (México),2019-09-01,21:50:00,-0500,44728980,ancalerts,ABS-CBN News Channel,,Manny Pacquiao launches his own 'Pac' crypto tokens  https://t.co/ZGKMSxqekg,en,[],['http://bit.ly/2ZFrYIf'],[],0,0,11,[],[],https://twitter.com/ANCALERTS/status/1168355363315486725,False,,0,,,,,,,,[],,,,
