id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1398511926750158854,1398511926750158854,2021-05-29 00:30:01 Hora de verano central (México),2021-05-29,00:30:01,-0500,877807935493033984,binance,Binance,,How are cryptocurrencies taxed in the UK and EU?   https://t.co/1u0ooo8NqF,en,[],['https://www.binance.com/en/blog/421499824684902104/How-Are-Cryptocurrencies-Taxed-in-the-UK-and-EU?ref=JLI1VBLA&utm_source=BinanceTwitter&utm_medium=GlobalSocial&utm_campaign=GlobalSocial'],[],194,181,990,[],[],https://twitter.com/binance/status/1398511926750158854,False,,0,,,,,,,,[],,,,
1393461239284633604,1393461239284633604,2021-05-15 02:00:23 Hora de verano central (México),2021-05-15,02:00:23,-0500,877807935493033984,binance,Binance,,Thinking about making #Bitcoin or other cryptocurrencies a part of your investment portfolio?  Read this ⬇️   https://t.co/1Czabq9q9V,en,[],['https://academy.binance.com/en/articles/how-to-invest-in-bitcoin-and-cryptocurrencies?ref=JLI1VBLA&utm_source=BinanceTwitter&utm_medium=GlobalSocial&utm_campaign=GlobalSocial'],[],377,242,1623,['bitcoin'],[],https://twitter.com/binance/status/1393461239284633604,False,,0,,,,,,,,[],,,,
1373295851339096068,1373295851339096068,2021-03-20 09:30:20 Hora estándar central (México),2021-03-20,09:30:20,-0500,877807935493033984,binance,Binance,,"One year from now, what will the top 5 cryptocurrencies be?",en,[],[],[],7707,1064,7275,[],[],https://twitter.com/binance/status/1373295851339096068,False,,0,,,,,,,,[],,,,
1369385032658346002,1369385032658346002,2021-03-09 14:30:08 Hora estándar central (México),2021-03-09,14:30:08,-0500,877807935493033984,binance,Binance,,Cryptocurrencies continued their record-breaking run in February as the crypto-economy market valuation surpassed $1.75 trillion.   https://t.co/vKGJYeIFVa,en,[],['https://www.binance.com/en/blog/421499824684901749/February-Trading-Report-How-Far-Could-Bitcoin-Go?ref=JLI1VBLA&utm_source=BinanceTwitter&utm_medium=GlobalSocial&utm_campaign=GlobalSocial'],[],117,252,911,[],[],https://twitter.com/binance/status/1369385032658346002,False,,0,,,,,,,,[],,,,
1363948797647282181,1363948797647282181,2021-02-22 14:28:28 Hora estándar central (México),2021-02-22,14:28:28,-0500,877807935493033984,binance,Binance,,"A prediction market is a speculative market where participants trade not on options or cryptocurrencies, but instead on information.   https://t.co/2YFsSDWCzB",en,[],['https://academy.binance.com/en/articles/blockchain-use-cases-prediction-markets?ref=JLI1VBLA&utm_source=BinanceTwitter&utm_medium=GlobalSocial&utm_campaign=GlobalSocial'],[],120,92,605,[],[],https://twitter.com/binance/status/1363948797647282181,False,,0,,,,,,,,[],,,,
1357664369920757761,1357664369920757761,2021-02-05 06:16:24 Hora estándar central (México),2021-02-05,06:16:24,-0500,877807935493033984,binance,Binance,,"""Countries that tend to restrict people's access to cryptocurrencies tend to have to back down - because the more you restrict people, the more they want to come to this."" - Dami, Feminist Coalition   https://t.co/69zdViXwlX",en,[],['https://twitter.com/i/broadcasts/1LyxBdOLkrMGN'],[],21,130,256,[],[],https://twitter.com/binance/status/1357664369920757761,False,,0,,,,,,,,[],,,,
1339282915872673794,1339282915872673794,2020-12-16 12:55:04 Hora estándar central (México),2020-12-16,12:55:04,-0500,877807935493033984,binance,Binance,,One River Asset Management quietly bought more than $600 million in cryptocurrencies.   The hedge fund also committed to bring its holdings of #Bitcoin and #Ethererum to about $1 billion as of early 2021.  Read the story ⬇️,en,[],[],[],22,65,288,"['bitcoin', 'ethererum']",[],https://twitter.com/binance/status/1339282915872673794,False,,0,,,,,,,,[],,,,
1313747136492843008,1313747136492843008,2020-10-07 02:45:00 Hora de verano central (México),2020-10-07,02:45:00,-0500,877807935493033984,binance,Binance,,"Move cryptocurrencies across blockchains, completely decentralized, with Panama!    https://t.co/AmWEAK0udo",en,[],['https://www.binance.com/en/blog/421499824684901059/The-Panama-Project-Making-OneClick-CrossChain-Connection-Possible?ref=JLI1VBLA&utm_source=BinanceTwitter&utm_medium=GlobalSocial&utm_campaign=GlobalSocial'],[],41,40,181,[],[],https://twitter.com/binance/status/1313747136492843008,False,,0,,,,,,,,[],,,,
1303941348265877504,1303941348265877504,2020-09-10 01:20:18 Hora de verano central (México),2020-09-10,01:20:18,-0500,877807935493033984,binance,Binance,,#Binance Futures Adds Six New Cryptocurrencies to Asset Conversion Function   https://t.co/XztOg03Vum,en,[],['https://www.binance.com/en/support/articles/b02bf347174848b18eb04d5fa2d5d6c8?ref=JLI1VBLA&utm_source=BinanceTwitter&utm_medium=GlobalSocial&utm_campaign=GlobalSocial'],[],10,27,102,['binance'],[],https://twitter.com/binance/status/1303941348265877504,False,,0,,,,,,,,[],,,,
1302820676886118402,1302820676886118402,2020-09-06 23:07:09 Hora de verano central (México),2020-09-06,23:07:09,-0500,877807935493033984,binance,Binance,,".@compoundfinance is a place where you can lend or borrow cryptocurrencies. All you need is an #Ethereum wallet, some funds, and you can borrow or earn interest right away.   https://t.co/RllDeeGgh9",en,"[{'screen_name': 'compoundfinance', 'name': 'compound labs', 'id': '292132128'}]",['https://academy.binance.com/economics/what-is-compound-finance-in-defi?utm_source=BinanceTwitter&utm_medium=GlobalSocial&utm_campaign=GlobalSocial'],[],27,57,199,['ethereum'],[],https://twitter.com/binance/status/1302820676886118402,False,,0,,,,,,,,[],,,,
