id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1384833454852935682,1384833454852935682,2021-04-21 06:36:39 Hora de verano central (México),2021-04-21,06:36:39,-0500,877807935493033984,binance,Binance,,"Wei Zhou, Head of @BinanceLabs, will be speaking on a FINEX webinar to share his thoughts about #Bitcoin, $ETH and other cryptos.   ⌚️ April 22, 5am UTC  Register here➡️  https://t.co/mNhFk0ATsz  https://t.co/5hkN1csflM",en,"[{'screen_name': 'binancelabs', 'name': 'binance labs', 'id': '960036444885565442'}]",['https://us02web.zoom.us/webinar/register/WN_WREy58YIRGq06llZ-9WwFQ'],['https://pbs.twimg.com/media/EzfqQSVX0AErnKM.jpg'],218,121,714,['bitcoin'],['eth'],https://twitter.com/binance/status/1384833454852935682,False,,1,https://pbs.twimg.com/media/EzfqQSVX0AErnKM.jpg,,,,,,,[],,,,
1368169599825481731,1368169599825481731,2021-03-06 06:00:26 Hora estándar central (México),2021-03-06,06:00:26,-0500,877807935493033984,binance,Binance,,"Three cryptos:  1) #Bitcoin 2) #Ethereum  3) $XRP  If you had to put one in each box, what would you do?  https://t.co/1bvEMwM5nz",en,[],[],['https://pbs.twimg.com/media/Evy3AByWQAgiQQK.jpg'],1948,825,4435,"['bitcoin', 'ethereum']",['xrp'],https://twitter.com/binance/status/1368169599825481731,False,,1,https://pbs.twimg.com/media/Evy3AByWQAgiQQK.jpg,,,,,,,[],,,,
1367591238510125056,1367591238510125056,2021-03-04 15:42:14 Hora estándar central (México),2021-03-04,15:42:14,-0500,877807935493033984,binance,Binance,,The #Binance app has a new feature called Lite mode that makes it easier to buy #Bitcoin and other cryptos.   Find out if Lite mode is right for you 👇   https://t.co/FJAWMMOKjO,en,[],['https://binance.com/en/blog/421499824684901724/Binance-Lite-vs-Professional-Which-Mode-Is-Right-For-You-?ref=JLI1VBLA&utm_source=BinanceTwitter&utm_medium=GlobalSocial&utm_campaign=GlobalSocial'],[],91,52,413,"['binance', 'bitcoin']",[],https://twitter.com/binance/status/1367591238510125056,False,,0,,,,,,,,[],,,,
1365363600777498631,1365363600777498631,2021-02-26 12:10:24 Hora estándar central (México),2021-02-26,12:10:24,-0500,877807935493033984,binance,Binance,,#Binance Futures weekly update:  New listings: 🔸 $DODO 25x 🔸 $REEF 25x 🔸 $RVN 25x 🔸 $SFP 25x  Cryptos with the biggest trading volumes: 🔸 #Bitcoin 🔸 $ETH  🔸 #BNB,en,[],[],[],238,261,1288,"['binance', 'bitcoin', 'bnb']","['dodo', 'reef', 'rvn', 'sfp', 'eth']",https://twitter.com/binance/status/1365363600777498631,False,,0,,,,,,,,[],,,,
1355387403301650433,1355387403301650433,2021-01-29 23:28:33 Hora estándar central (México),2021-01-29,23:28:33,-0500,877807935493033984,binance,Binance,,"#Bitcoin maybe the most well-known cryptocurrency, but there are thousands of other tokens in the cryptoverse.  What other cryptos should you buy? Find out 👇   https://t.co/NlSmWVlXJQ",en,[],['https://www.binance.com/en/blog/421499824684901548/What-Crypto-Should-I-Buy-Aside-From-Bitcoin?ref=JLI1VBLA&utm_source=BinanceTwitter&utm_medium=GlobalSocial&utm_campaign=GlobalSocial'],[],288,97,523,['bitcoin'],[],https://twitter.com/binance/status/1355387403301650433,False,,0,,,,,,,,[],,,,
1354055929147383809,1354055929147383809,2021-01-26 07:17:45 Hora estándar central (México),2021-01-26,07:17:45,-0500,877807935493033984,binance,Binance,,"On Friday, February 5, @michael_saylor will be speaking in a fireside chat at #Binance Blockchain Week!  Listen in for topics such as: 🔸 Why Michael became a #Bitcoin bull 🔸 2021 #BTC price forecasts 🔸 Thoughts on crypto skeptics 🔸 Interest in other cryptos  Get your ticket⬇️",en,"[{'screen_name': 'michael_saylor', 'name': 'michael saylor', 'id': '244647486'}]",[],[],38,68,342,"['binance', 'bitcoin', 'btc']",[],https://twitter.com/binance/status/1354055929147383809,False,,0,,,,,,,,[],,,,
1343104362055397376,1343104362055397376,2020-12-27 02:00:08 Hora estándar central (México),2020-12-27,02:00:08,-0500,877807935493033984,binance,Binance,,"In 2020 #Bitcoin, #BNB &amp; @Ethereum were the top three held cryptos on #Binance.   Which crypto did you hold for the longest in 2020?  https://t.co/oJqJoB5Q0S",en,"[{'screen_name': 'ethereum', 'name': 'ethereum', 'id': '2312333412'}]",[],['https://pbs.twimg.com/media/EqOqTKAXEAAFyyX.jpg'],188,96,584,"['bitcoin', 'bnb', 'binance']",[],https://twitter.com/binance/status/1343104362055397376,False,,1,https://pbs.twimg.com/media/EqOqTKAXEAAFyyX.jpg,,,,,,,[],,,,
1341822009458765825,1341822007609057283,2020-12-23 13:04:31 Hora estándar central (México),2020-12-23,13:04:31,-0500,877807935493033984,binance,Binance,,"Read the full #Binance trend report for insights into the most held cryptos, the busiest trading hours, and much more.   https://t.co/LZo17bUdTL",en,[],['https://www.binance.com/en/blog/421499824684901403/Crypto-Trends-2020-on-Binance?ref=JLI1VBLA&utm_source=BinanceTwitter&utm_medium=GlobalSocial&utm_campaign=GlobalSocial'],[],12,15,80,['binance'],[],https://twitter.com/binance/status/1341822009458765825,False,,0,,,,,,,,[],,,,
1325830607356776448,1325830607356776448,2020-11-09 10:00:24 Hora estándar central (México),2020-11-09,10:00:24,-0500,877807935493033984,binance,Binance,,"Namaste India 🇮🇳  Yeh Diwali, manao Binance P2P ke sath!  3 days, 3 offers and 3 cryptos - buy #BUSD, #BNB and #BTC with up to 30% off, only on #Binance P2P!   https://t.co/a5mZrlJ72G",en,[],['https://www.binance.com/en/blog/421499824684901202/DiwaliWithBinance-Get-up-to-30-discount-at-the-Binance-P2P-Flash-Sales--?ref=JLI1VBLA&utm_source=BinanceTwitter&utm_medium=GlobalSocial&utm_campaign=GlobalSocial'],[],15,10,94,"['busd', 'bnb', 'btc', 'binance']",[],https://twitter.com/binance/status/1325830607356776448,False,,0,,,,,,,,[],,,,
1239228187592122368,1239228187592122368,2020-03-15 10:33:18 Hora estándar central (México),2020-03-15,10:33:18,-0500,877807935493033984,binance,Binance,,#Binance P2P supporte maintenant l'euro $EUR;  Achetez des cryptos en P2P sans frais!   https://t.co/LOEfEwDqtZ  https://t.co/O9TAdeRl8I,fr,[],['https://binance.zendesk.com/hc/fr/articles/360040767071'],['https://pbs.twimg.com/media/ETKfWW3U4AE0fXc.png'],4,23,62,['binance'],['eur'],https://twitter.com/binance/status/1239228187592122368,False,,1,https://pbs.twimg.com/media/ETKfWW3U4AE0fXc.png,,,,,,,[],,,,
