id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1398296587210838016,1398296587210838016,2021-05-28 10:14:20 Hora de verano central (México),2021-05-28,10:14:20,-0500,20562637,businessinsider,Business Insider,,"What makes ethereum different from other cryptocurrencies, like bitcoin?  https://t.co/nxbUApXYzK",en,[],[],[],4,66,163,[],[],https://twitter.com/BusinessInsider/status/1398296587210838016,False,,1,https://pbs.twimg.com/media/E7kIV0DWEAIq6br.jpg,,,,,,,[],,,,
1397584804997128192,1397584804997128192,2021-05-26 11:05:58 Hora de verano central (México),2021-05-26,11:05:58,-0500,20562637,businessinsider,Business Insider,,A pair of 34-year-old former Credit Suisse traders turned crypto whales say they're beating bitcoin by owning ether — and downplay the energy-use concerns of mining and Elon Musk's impact  https://t.co/yyfW2TWcQF,en,[],['http://www.businessinsider.com/crypto-whales-millennials-beat-bitcoin-own-ether-downplay-mining-concerns-2021-5'],[],1,11,26,[],[],https://twitter.com/BusinessInsider/status/1397584804997128192,False,,0,,,,,,,,[],,,,
1397524476888293385,1397524476888293385,2021-05-26 07:06:14 Hora de verano central (México),2021-05-26,07:06:14,-0500,20562637,businessinsider,Business Insider,,A nearly risk-free trade that cashed in on bitcoin's volatility is now inverted. Analysts and traders break down what this has to do with the massive rebound of major cryptos this week — and whether this upward move is sustainable.  https://t.co/9pVkmuUH6F,en,[],['http://www.businessinsider.com/what-does-inversion-of-btc-basis-trade-mean-crypto-analysts-2021-5'],[],2,10,16,[],[],https://twitter.com/BusinessInsider/status/1397524476888293385,False,,0,,,,,,,,[],,,,
1397161676911386625,1397161676911386625,2021-05-25 07:04:36 Hora de verano central (México),2021-05-25,07:04:36,-0500,20562637,businessinsider,Business Insider,,5 crypto heavyweights break down whether the recent crash signals the end of the bull market — and share how the digital currency could live up to cypherpunk Hal Finney's historic $10 million per bitcoin price prediction  https://t.co/PUbmaEZohF,en,[],['http://www.businessinsider.com/is-crypto-bull-market-over-industry-heavyweights-explain-bitcoin-ethereum-2021-5'],[],3,9,13,[],[],https://twitter.com/BusinessInsider/status/1397161676911386625,False,,0,,,,,,,,[],,,,
1396805164279943169,1396805164279943169,2021-05-24 07:27:57 Hora de verano central (México),2021-05-24,07:27:57,-0500,20562637,businessinsider,Business Insider,,Why it doesn't actually matter if people use their bitcoin  https://t.co/QQvnGQGiLl,en,[],[],[],3,19,46,[],[],https://twitter.com/BusinessInsider/status/1396805164279943169,False,,1,https://pbs.twimg.com/media/E7fZZifXoAQTVQy.jpg,,,,,,,[],,,,
1396528030714155011,1396528030714155011,2021-05-23 13:06:43 Hora de verano central (México),2021-05-23,13:06:43,-0500,20562637,businessinsider,Business Insider,,How Bitcoin's value is solving the problem with fiat money  https://t.co/5txHNMUZMW,en,[],[],[],2,17,71,[],[],https://twitter.com/BusinessInsider/status/1396528030714155011,False,,1,https://pbs.twimg.com/media/E7Ph10YXoAEQ7Xc.jpg,,,,,,,[],,,,
1396191447683063814,1396191447683063814,2021-05-22 14:49:15 Hora de verano central (México),2021-05-22,14:49:15,-0500,20562637,businessinsider,Business Insider,,How the value of bitcoin is solving the problem with fiat money  https://t.co/ZszUDdAIuz,en,[],[],[],6,41,95,[],[],https://twitter.com/BusinessInsider/status/1396191447683063814,False,,1,https://pbs.twimg.com/media/E7Ph10YXoAEQ7Xc.jpg,,,,,,,[],,,,
1395619132301795328,1395619132301795328,2021-05-21 00:55:05 Hora de verano central (México),2021-05-21,00:55:05,-0500,20562637,businessinsider,Business Insider,,Is bitcoin worth its weight in gold?  https://t.co/lR9sJ7hNZt,en,[],[],[],16,98,242,[],[],https://twitter.com/BusinessInsider/status/1395619132301795328,False,,1,https://pbs.twimg.com/media/E67OwlfXMAI2DBk.jpg,,,,,,,[],,,,
1395009769174441987,1395009769174441987,2021-05-19 08:33:41 Hora de verano central (México),2021-05-19,08:33:41,-0500,20562637,businessinsider,Business Insider,,💸📉 Bitcoin is plummeting. Watch the price in real time here:  https://t.co/J6PIDgJEEu #btc  https://t.co/STKyd233bm,en,[],['https://markets.businessinsider.com/currencies/btc-usd'],['https://pbs.twimg.com/tweet_video_thumb/E1wR_DyWQAQWmsG.jpg'],12,54,87,['btc'],[],https://twitter.com/BusinessInsider/status/1395009769174441987,False,,1,https://pbs.twimg.com/tweet_video_thumb/E1wR_DyWQAQWmsG.jpg,,,,,,,[],,,,
1394561092832178177,1394561092832178177,2021-05-18 02:50:48 Hora de verano central (México),2021-05-18,02:50:48,-0500,20562637,businessinsider,Business Insider,,Should Bitcoin or Ethereum be worth more?  https://t.co/6hzsVUPcYq,en,[],[],[],10,38,105,[],[],https://twitter.com/BusinessInsider/status/1394561092832178177,False,,1,https://pbs.twimg.com/media/E7kISAeXEAQ7g2Q.jpg,,,,,,,[],,,,
1394051451740164102,1394051451740164102,2021-05-16 17:05:40 Hora de verano central (México),2021-05-16,17:05:40,-0500,20562637,businessinsider,Business Insider,,Bitcoin slides after Elon Musk appears to suggest in a tweet that Tesla might dump its holdings of the cryptocurrency  https://t.co/OJOFgXKllZ,en,[],['http://www.businessinsider.com/bitcoin-slides-after-elon-musk-seems-to-suggest-tesla-might-dump-the-cryptocurrency-2021-5'],[],39,36,118,[],[],https://twitter.com/BusinessInsider/status/1394051451740164102,False,,0,,,,,,,,[],,,,
