id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1399306228745052161,1399306228745052161,2021-05-31 05:06:17 Hora de verano central (México),2021-05-31,05:06:17,-0500,20562637,businessinsider,Business Insider,,A senior crypto trader at a $500 million digital asset manager shares his favorite trading strategies to generate 'riskless profits' — and the 3 sectors of the nascent market that he is most bullish on  https://t.co/JWxzr8WjkT,en,[],['http://www.businessinsider.com/crypto-trader-shares-favorite-strategies-bullish-sectors-bitcoin-ether-defi-2021-5'],[],1,8,32,[],[],https://twitter.com/BusinessInsider/status/1399306228745052161,False,,0,,,,,,,,[],,,,
1398610617632800768,1398610617632800768,2021-05-29 07:02:10 Hora de verano central (México),2021-05-29,07:02:10,-0500,20562637,businessinsider,Business Insider,,Inside the largest virtual crypto gathering this year: Ark Invest CEO Cathie Wood and NFL legend Tom Brady break down why they are doubling down on crypto despite the recent volatility — and share the opportunities on their radar  https://t.co/A1oFnmPFNK,en,[],['http://www.businessinsider.com/crypto-investing-outlook-cathie-wood-tom-brady-coindesk-consensus-conference-2021-5'],[],3,10,27,[],[],https://twitter.com/BusinessInsider/status/1398610617632800768,False,,0,,,,,,,,[],,,,
1397584804997128192,1397584804997128192,2021-05-26 11:05:58 Hora de verano central (México),2021-05-26,11:05:58,-0500,20562637,businessinsider,Business Insider,,A pair of 34-year-old former Credit Suisse traders turned crypto whales say they're beating bitcoin by owning ether — and downplay the energy-use concerns of mining and Elon Musk's impact  https://t.co/yyfW2TWcQF,en,[],['http://www.businessinsider.com/crypto-whales-millennials-beat-bitcoin-own-ether-downplay-mining-concerns-2021-5'],[],1,11,26,[],[],https://twitter.com/BusinessInsider/status/1397584804997128192,False,,0,,,,,,,,[],,,,
1397493118514180098,1397493118514180098,2021-05-26 05:01:38 Hora de verano central (México),2021-05-26,05:01:38,-0500,20562637,businessinsider,Business Insider,,"Meet the 11 crypto masterminds at Wall Street firms like JPMorgan, Bank of America, and Morgan Stanley who are helping clients understand the mania — and successfully invest in it  https://t.co/NTxOjzKOKs",en,[],['http://www.businessinsider.com/crypto-investing-outlook-advice-top-wall-street-analysts-bitcoin-ethereum-2021-5'],[],0,20,22,[],[],https://twitter.com/BusinessInsider/status/1397493118514180098,False,,0,,,,,,,,[],,,,
1397161676911386625,1397161676911386625,2021-05-25 07:04:36 Hora de verano central (México),2021-05-25,07:04:36,-0500,20562637,businessinsider,Business Insider,,5 crypto heavyweights break down whether the recent crash signals the end of the bull market — and share how the digital currency could live up to cypherpunk Hal Finney's historic $10 million per bitcoin price prediction  https://t.co/PUbmaEZohF,en,[],['http://www.businessinsider.com/is-crypto-bull-market-over-industry-heavyweights-explain-bitcoin-ethereum-2021-5'],[],3,9,13,[],[],https://twitter.com/BusinessInsider/status/1397161676911386625,False,,0,,,,,,,,[],,,,
1396853394753589253,1396853394753589253,2021-05-24 10:39:36 Hora de verano central (México),2021-05-24,10:39:36,-0500,20562637,businessinsider,Business Insider,,"Peter Smith built  https://t.co/691fIzGWMB from nothing into a $5 billion business in 10 years. The CEO of the Baillie Gifford-backed startup shares 4 assets he's following, and why he's given away crypto to thousands of people.  https://t.co/gvKI74sAWr",en,[],"['http://Blockchain.com', 'http://www.businessinsider.com/blockchain-ceo-shares-why-hes-hodling-while-crypto-crashes-2021-5']",[],58,45,160,[],[],https://twitter.com/BusinessInsider/status/1396853394753589253,False,,0,,,,,,,,[],,,,
1396550911988744194,1396550911988744194,2021-05-23 14:37:38 Hora de verano central (México),2021-05-23,14:37:38,-0500,20562637,businessinsider,Business Insider,,"100x crypto opportunities, plus new ways to protect your portfolio from inflation  https://t.co/w1RCHmXzFb",en,[],['http://www.businessinsider.com/100x-crypto-opportunities-inflation-hedges-ether-bull-case-insider-investing-2021-5'],[],1,6,33,[],[],https://twitter.com/BusinessInsider/status/1396550911988744194,False,,0,,,,,,,,[],,,,
1396075267521761281,1396075267521761281,2021-05-22 07:07:36 Hora de verano central (México),2021-05-22,07:07:36,-0500,20562637,businessinsider,Business Insider,,The investing chief of a crypto asset manager breaks down why SushiSwap is now the 'most undervalued token in digital assets' that could triple from here — and shares 2 under-the-radar tokens he's bullish on  https://t.co/wjYwnyDeCr,en,[],['http://www.businessinsider.com/crypto-cio-shares-why-sushiswap-could-triple-tokens-bullish-arca-2021-5'],[],5,8,14,[],[],https://twitter.com/BusinessInsider/status/1396075267521761281,False,,0,,,,,,,,[],,,,
1395320308316446722,1395320308316446722,2021-05-20 05:07:39 Hora de verano central (México),2021-05-20,05:07:39,-0500,20562637,businessinsider,Business Insider,,7 crypto heavyweights told us what's behind the sudden sell-off that erased over $400 billion from the market in just 24 hours — and whether now is the time to 'buy the dip'  https://t.co/62WzGkyLGy,en,[],['http://www.businessinsider.com/cryptocurrency-crash-explained-causes-should-i-sell-buy-the-dip-2021-5'],[],2,11,37,[],[],https://twitter.com/BusinessInsider/status/1395320308316446722,False,,0,,,,,,,,[],,,,
1394988105631948802,1394988105631948802,2021-05-19 07:07:36 Hora de verano central (México),2021-05-19,07:07:36,-0500,20562637,businessinsider,Business Insider,,Wells Fargo's investment institute is in the final stages of onboarding an active crypto strategy for its wealthy clients. Its president told us why the firm changed its mind on crypto — and shared the key merits and risks of the 'investable asset.'  https://t.co/6kObRIKVJx,en,[],['http://www.businessinsider.com/crypto-investing-wells-fargo-to-add-fund-to-platform-bitcoin-2021-5'],[],10,29,89,[],[],https://twitter.com/BusinessInsider/status/1394988105631948802,False,,0,,,,,,,,[],,,,
