id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1397524476888293385,1397524476888293385,2021-05-26 07:06:14 Hora de verano central (México),2021-05-26,07:06:14,-0500,20562637,businessinsider,Business Insider,,A nearly risk-free trade that cashed in on bitcoin's volatility is now inverted. Analysts and traders break down what this has to do with the massive rebound of major cryptos this week — and whether this upward move is sustainable.  https://t.co/9pVkmuUH6F,en,[],['http://www.businessinsider.com/what-does-inversion-of-btc-basis-trade-mean-crypto-analysts-2021-5'],[],2,10,16,[],[],https://twitter.com/BusinessInsider/status/1397524476888293385,False,,0,,,,,,,,[],,,,
1382666917853458434,1382666917853458434,2021-04-15 07:07:36 Hora de verano central (México),2021-04-15,07:07:36,-0500,20562637,businessinsider,Business Insider,,Coinbase's IPO is driving cryptos to record highs. A former Morgan Stanley trader who now runs a crypto finance firm breaks down why a near-term correction in Bitcoin might actually be a good thing for the industry.  https://t.co/vARgXebIOh,en,[],['http://www.businessinsider.com/bitcoin-price-pullback-good-for-crypto-industry-ceo-explains-coinbase-2021-4'],[],3,10,16,[],[],https://twitter.com/BusinessInsider/status/1382666917853458434,False,,0,,,,,,,,[],,,,
1191375811842105345,1191375811842105345,2019-11-04 09:25:02 Hora estándar central (México),2019-11-04,09:25:02,-0500,20562637,businessinsider,Business Insider,,The Association of German Banks' desire for a digital euro adds to the growing call for state-backed cryptos:  https://t.co/KkLQiTOMAm  https://t.co/C7VcePZqWt,en,[],['http://bit.ly/2rdB8w7'],['https://pbs.twimg.com/media/EIid_LqXkAEbCDe.jpg'],1,6,6,[],[],https://twitter.com/BusinessInsider/status/1191375811842105345,False,,1,https://pbs.twimg.com/media/EIid_LqXkAEbCDe.jpg,,,,,,,[],,,,
1165259966862651393,1165259966862651393,2019-08-24 08:50:00 Hora de verano central (México),2019-08-24,08:50:00,-0500,20562637,businessinsider,Business Insider,,Etherium aimed to widen the scope of functionality in cryptos  https://t.co/GXgzk0icDB,en,[],[],[],1,17,53,[],[],https://twitter.com/BusinessInsider/status/1165259966862651393,False,,1,https://pbs.twimg.com/media/E7kIV0DWEAIq6br.jpg,,,,,,,[],,,,
1146077324284223490,1146077324284223490,2019-07-02 10:25:01 Hora de verano central (México),2019-07-02,10:25:01,-0500,20562637,businessinsider,Business Insider,,Global banks like Goldman Sachs may have to issue their own cryptos sooner than expected now that Facebook announced its plans to launch Libra:  https://t.co/O68uWUmztJ  https://t.co/CoJBfLWOpQ,en,[],['http://bit.ly/2RSYwbA'],['https://pbs.twimg.com/media/D-evQLwXoAADlTW.jpg'],1,11,11,[],[],https://twitter.com/BusinessInsider/status/1146077324284223490,False,,1,https://pbs.twimg.com/media/D-evQLwXoAADlTW.jpg,,,,,,,[],,,,
1116739020669763585,1116739020669763585,2019-04-12 11:25:05 Hora de verano central (México),2019-04-12,11:25:05,-0500,20562637,businessinsider,Business Insider,,"Coinbase Card is a debit card that allows users to spend their Bitcoin, Ethereum, or Litecoin cryptos in-store:  https://t.co/Az5nycjzml  https://t.co/79hQiu1HjV",en,[],['http://bit.ly/2Kx8X4x'],['https://pbs.twimg.com/media/D390OJJXsAAbm4r.jpg'],0,9,25,[],[],https://twitter.com/BusinessInsider/status/1116739020669763585,False,,1,https://pbs.twimg.com/media/D390OJJXsAAbm4r.jpg,,,,,,,[],,,,
1037300759094812673,1037300759094812673,2018-09-05 06:25:47 Hora de verano central (México),2018-09-05,06:25:47,-0500,20562637,businessinsider,Business Insider,,Bitcoin drops sharply and suddenly — and now cryptos across the board are getting slammed  https://t.co/9uxE51H6kL,en,[],['https://read.bi/2Q46Fse'],[],4,28,35,[],[],https://twitter.com/BusinessInsider/status/1037300759094812673,False,,0,,,,,,,,[],,,,
1012778677170368512,1012778677170368512,2018-06-29 14:23:47 Hora de verano central (México),2018-06-29,14:23:47,-0500,20562637,businessinsider,Business Insider,,CRYPTO INSIDER: VC's still have no idea how to play cryptos  https://t.co/cuojoUaIsp  https://t.co/ppnrFW1JX1,en,[],['https://read.bi/2IBpu16'],['https://pbs.twimg.com/media/Dg4c1tHVQAEuvhU.jpg'],1,3,2,[],[],https://twitter.com/BusinessInsider/status/1012778677170368512,False,,1,https://pbs.twimg.com/media/Dg4c1tHVQAEuvhU.jpg,,,,,,,[],,,,
1006891730417930240,1006891730417930240,2018-06-13 08:31:10 Hora de verano central (México),2018-06-13,08:31:10,-0500,20562637,businessinsider,Business Insider,,The UK Financial Conduct Authority just sent bank CEOs a warning letter about cryptos  https://t.co/mVP5GSoogf,en,[],['https://read.bi/2JBnJpS'],[],1,14,3,[],[],https://twitter.com/BusinessInsider/status/1006891730417930240,False,,0,,,,,,,,[],,,,
969231373721591809,969231373721591809,2018-03-01 09:22:21 Hora estándar central (México),2018-03-01,09:22:21,-0500,20562637,businessinsider,Business Insider,,The US Commodity Futures Trading Commission runs into tough ethical questions on cryptos  https://t.co/SPyQkbqlMT  https://t.co/uev4pKI6EP,en,[],['http://read.bi/2t6llj5'],['https://pbs.twimg.com/media/DXNmzBcW4AAXCge.jpg'],0,5,7,[],[],https://twitter.com/BusinessInsider/status/969231373721591809,False,,1,https://pbs.twimg.com/media/DXNmzBcW4AAXCge.jpg,,,,,,,[],,,,
964107692762714113,964107692762714113,2018-02-15 06:02:40 Hora estándar central (México),2018-02-15,06:02:40,-0500,20562637,businessinsider,Business Insider,,JPMORGAN: Cryptos face a major hurdle even if they become widely accepted as money  https://t.co/Cn9OJjGgsx  https://t.co/jCbru3KoTD,en,[],['http://read.bi/2o7tXjS'],['https://pbs.twimg.com/media/DWEy1gzX4AA0M59.jpg'],0,7,12,[],[],https://twitter.com/BusinessInsider/status/964107692762714113,False,,1,https://pbs.twimg.com/media/DWEy1gzX4AA0M59.jpg,,,,,,,[],,,,
956170008073261056,956170008073261056,2018-01-24 08:21:09 Hora estándar central (México),2018-01-24,08:21:09,-0500,20562637,businessinsider,Business Insider,,Nordic banking giant Nordea bans employees from trading cryptos  https://t.co/sUWecbzdXB  https://t.co/WLOZPF6hKO,en,[],['http://read.bi/2DEoTOw'],['https://pbs.twimg.com/media/DUT_jakX0AE1Bc9.jpg'],4,19,19,[],[],https://twitter.com/BusinessInsider/status/956170008073261056,False,,1,https://pbs.twimg.com/media/DUT_jakX0AE1Bc9.jpg,,,,,,,[],,,,
