id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1398266371184734216,1398266371184734216,2021-05-28 08:14:16 Hora de verano central (México),2021-05-28,08:14:16,-0500,20402945,cnbc,CNBC,,Tom Brady says he's a 'big believer' in cryptocurrencies  https://t.co/59QYdic4tC,en,[],['https://cnb.cx/2QZgr47'],[],68,116,681,[],[],https://twitter.com/CNBC/status/1398266371184734216,False,,0,,,,,,,,[],,,,
1398232719105069064,1398232719105069064,2021-05-28 06:00:32 Hora de verano central (México),2021-05-28,06:00:32,-0500,20402945,cnbc,CNBC,,"Bitcoin falls below $36,000 as cryptocurrencies slip once again  https://t.co/XUhf7N0Tt1",en,[],['https://cnb.cx/3fvCXLi'],[],24,49,175,[],[],https://twitter.com/CNBC/status/1398232719105069064,False,,0,,,,,,,,[],,,,
1397322083160444928,1397322083160444928,2021-05-25 17:42:00 Hora de verano central (México),2021-05-25,17:42:00,-0500,20402945,cnbc,CNBC,,.@ScottMinerd: A new and superior form of #crypto will come along to become the dominant one. He also sees gold and silver spiking as cryptocurrencies remain volatile. @SullyCNBC  Read more with @CNBCPro here:  https://t.co/USAbgu1pmY  https://t.co/nRKgntK7oa,en,"[{'screen_name': 'scottminerd', 'name': 'scott minerd', 'id': '183279521'}, {'screen_name': 'sullycnbc', 'name': 'brian sullivan', 'id': '24443284'}, {'screen_name': 'cnbcpro', 'name': 'cnbc pro', 'id': '36992781'}]",['https://cnb.cx/34fTVaj'],[],6,7,21,['crypto'],[],https://twitter.com/CNBC/status/1397322083160444928,False,,1,https://pbs.twimg.com/media/E2O56PLWEAY-hsV.jpg,,,,,,,[],,,,
1397206824206716938,1397206824206716938,2021-05-25 10:04:00 Hora de verano central (México),2021-05-25,10:04:00,-0500,20402945,cnbc,CNBC,,.@ScottMinerd: A new and superior form of #crypto will come along to become the dominant one. He also sees gold and silver spiking as cryptocurrencies remain volatile. @SullyCNBC  Read more with @CNBCPro here:  https://t.co/USAbgu1pmY  https://t.co/xrvCar19xM,en,"[{'screen_name': 'scottminerd', 'name': 'scott minerd', 'id': '183279521'}, {'screen_name': 'sullycnbc', 'name': 'brian sullivan', 'id': '24443284'}, {'screen_name': 'cnbcpro', 'name': 'cnbc pro', 'id': '36992781'}]",['https://cnb.cx/34fTVaj'],[],58,73,245,['crypto'],[],https://twitter.com/CNBC/status/1397206824206716938,False,,1,https://pbs.twimg.com/media/E2O56PLWEAY-hsV.jpg,,,,,,,[],,,,
1397151172553846788,1397151172553846788,2021-05-25 06:22:52 Hora de verano central (México),2021-05-25,06:22:52,-0500,20402945,cnbc,CNBC,,Bitcoin traders using up to 100-to-1 leverage are driving the wild swings in cryptocurrencies  https://t.co/BLX6LffIgj,en,[],['https://cnb.cx/3yBW2TN'],[],38,49,183,[],[],https://twitter.com/CNBC/status/1397151172553846788,False,,0,,,,,,,,[],,,,
1396820025063903235,1396820025063903235,2021-05-24 08:27:00 Hora de verano central (México),2021-05-24,08:27:00,-0500,20402945,cnbc,CNBC,,LISTEN NOW: Cryptocurrencies have been selling off all week and into the weekend. We discuss what it means for the broader markets and where they could go next. Listen and subscribe to the @CNBCWEX podcast here or on your favorite platform:  https://t.co/i2F0hap7uz  https://t.co/WQH9EtwG0j,en,"[{'screen_name': 'cnbcwex', 'name': 'worldwide exchange', 'id': '26748158'}]",['https://cnb.cx/3oB9L8R'],[],2,3,16,[],[],https://twitter.com/CNBC/status/1396820025063903235,False,,1,https://pbs.twimg.com/amplify_video_thumb/1396815262997958657/img/IWL35e63OtBb2Svv.jpg,,,,,,,[],,,,
1396770084752957443,1396770084752957443,2021-05-24 05:08:33 Hora de verano central (México),2021-05-24,05:08:33,-0500,20402945,cnbc,CNBC,,Cryptocurrencies attempt a positive start to the week after wild plunges  https://t.co/K02JTQsLGE,en,[],['https://cnb.cx/3hNesLc'],[],21,46,216,[],[],https://twitter.com/CNBC/status/1396770084752957443,False,,0,,,,,,,,[],,,,
1395903485980266496,1395903485980266496,2021-05-21 19:45:00 Hora de verano central (México),2021-05-21,19:45:00,-0500,20402945,cnbc,CNBC,,"What are Barry Diller's thoughts on cryptocurrencies? ""I think it's a con."" Diller’s comments came after a volatile week in the #crypto world.  https://t.co/NDoB11RsLX  https://t.co/Fg5csrBvue",en,[],['https://cnb.cx/3fFDd9F'],[],23,12,53,['crypto'],[],https://twitter.com/CNBC/status/1395903485980266496,False,,1,https://pbs.twimg.com/media/E16etqHWEAMtJzX.jpg,,,,,,,[],,,,
1395853973639340032,1395853973639340032,2021-05-21 16:28:15 Hora de verano central (México),2021-05-21,16:28:15,-0500,20402945,cnbc,CNBC,,"Media mogul Barry Diller says cryptocurrencies are a ""con.""  https://t.co/FqBaXNjlIm",en,[],['https://cnb.cx/3udSxzj'],[],126,58,311,[],[],https://twitter.com/CNBC/status/1395853973639340032,False,,0,,,,,,,,[],,,,
1395819179928956931,1395819179928956931,2021-05-21 14:10:00 Hora de verano central (México),2021-05-21,14:10:00,-0500,20402945,cnbc,CNBC,,"What are Barry Diller's thoughts on cryptocurrencies? ""I think it's a con."" Diller’s comments came after a volatile week in the #crypto world.  https://t.co/NDoB1294ax  https://t.co/hg5btiTU6v",en,[],['https://cnb.cx/3fFDd9F'],[],22,14,53,['crypto'],[],https://twitter.com/CNBC/status/1395819179928956931,False,,1,https://pbs.twimg.com/media/E16etqHWEAMtJzX.jpg,,,,,,,[],,,,
