id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1398566670982017026,1398566670982017026,2021-05-29 04:07:33 Hora de verano central (México),2021-05-29,04:07:33,-0500,19897138,indiatoday,IndiaToday,,How to invest in cryptocurrency in India - start with as low as Rs 100/-   #crypto #cryptocurrency #cryptocurrencies #bitcoin #ethereum #ripple #litecoin #blockchain #platform #vertical #newsmo  https://t.co/A5G6LtoKQn,en,[],[],[],2,14,31,"['crypto', 'cryptocurrency', 'cryptocurrencies', 'bitcoin', 'ethereum', 'ripple', 'litecoin', 'blockchain', 'platform', 'vertical', 'newsmo']",[],https://twitter.com/IndiaToday/status/1398566670982017026,False,,1,https://pbs.twimg.com/media/E2i04egUUAEMEZ9.jpg,,,,,,,[],,,,
1397087552339730435,1397087552339730435,2021-05-25 02:10:03 Hora de verano central (México),2021-05-25,02:10:03,-0500,19897138,indiatoday,IndiaToday,,We're addressing the basics of cryptocurrency and answering fundamental queries and questions regarding cryptocurrencies in this video. Watch and share with anyone who wants to understand crypto's. (@ShivanChanana)  #crypto #cryptocurrency #vertical #newsmo  https://t.co/IeS7lP5ExJ,en,"[{'screen_name': 'shivanchanana', 'name': 'shivan chanana', 'id': '995653908'}]",[],[],2,4,16,"['crypto', 'cryptocurrency', 'vertical', 'newsmo']",[],https://twitter.com/IndiaToday/status/1397087552339730435,False,,1,https://pbs.twimg.com/media/E2NztGhVUAQgqVT.jpg,,,,,,,[],,,,
1395785375478542343,1395785375478542343,2021-05-21 11:55:40 Hora de verano central (México),2021-05-21,11:55:40,-0500,19897138,indiatoday,IndiaToday,,"Talking Tech With WazirX CEO Nishcal Shetty | Bitcoin, Dogecoin and crypto dip | Should you invest? #cryptocurrency   https://t.co/21vetOz1ZN",en,[],['https://www.indiatoday.in/technology/video/video/talking-tech-with-wazirx-ceo-nishcal-shetty-bitcoin-dogecoin-and-crypto-dip-should-you-invest-1805500-2021-05-21'],[],7,7,27,['cryptocurrency'],[],https://twitter.com/IndiaToday/status/1395785375478542343,False,,0,,,,,,,,[],,,,
1395601846459269125,1395601846459269125,2021-05-20 23:46:23 Hora de verano central (México),2021-05-20,23:46:23,-0500,19897138,indiatoday,IndiaToday,,The rebound started on Thursday as Bitcoin held on to gains despite higher volatility in the crypto market. #CryptoCurrency #Bitcoin  https://t.co/WW5i05oHX6,en,[],['https://www.indiatoday.in/business/story/cryptocurrency-prices-today-bitcoin-regains-40-000-ethereum-rises-nearly-15-1805121-2021-05-21'],[],2,5,16,"['cryptocurrency', 'bitcoin']",[],https://twitter.com/IndiaToday/status/1395601846459269125,False,,0,,,,,,,,[],,,,
1395311098446848000,1395311098446848000,2021-05-20 04:31:04 Hora de verano central (México),2021-05-20,04:31:04,-0500,19897138,indiatoday,IndiaToday,,#Business: The overall crypto market remains extremely volatile at the moment. #Cryptocurrency  https://t.co/jWiXJGEaGx,en,[],['https://www.indiatoday.in/business/story/cryptocurrency-plunge-should-you-buy-the-dip-or-avoid-exposure-1804814-2021-05-20'],[],2,2,7,"['business', 'cryptocurrency']",[],https://twitter.com/IndiaToday/status/1395311098446848000,False,,0,,,,,,,,[],,,,
1394957555445555203,1394957555445555203,2021-05-19 05:06:12 Hora de verano central (México),2021-05-19,05:06:12,-0500,19897138,indiatoday,IndiaToday,,India's Crypto Covid Relief Fund has already collected over Rs. 7Crores in a very short period of time. Why is this crypto relief fund gaining so much popularity and how does it work...we're answering everything in this short video.  #NewsMo #Vertical #crypto #cryptocurrency  https://t.co/YdzSkHP0c5,en,[],[],[],4,1,11,"['newsmo', 'vertical', 'crypto', 'cryptocurrency']",[],https://twitter.com/IndiaToday/status/1394957555445555203,False,,1,https://pbs.twimg.com/media/E1viekEVkAMgSWa.jpg,,,,,,,[],,,,
1393831310867664900,1393831310867664900,2021-05-16 02:30:55 Hora de verano central (México),2021-05-16,02:30:55,-0500,19897138,indiatoday,IndiaToday,,What is India's Covid crypto reflief fund? @Chaiti explains.  #ITVideo #CryptoReliefFund #CryptoCurrency  https://t.co/iVdgpQlH1M,en,"[{'screen_name': 'chaiti', 'name': 'chaiti narula', 'id': '20899069'}]",[],[],21,92,249,"['itvideo', 'cryptorelieffund', 'cryptocurrency']",[],https://twitter.com/IndiaToday/status/1393831310867664900,False,,1,https://pbs.twimg.com/media/E1fiLcGVEAIBW6-.jpg,,,,,,,[],,,,
1391585483566714885,1391585483566714885,2021-05-09 21:46:48 Hora de verano central (México),2021-05-09,21:46:48,-0500,19897138,indiatoday,IndiaToday,,"""SpaceX launching satellite Doge-1 to the moon next year Mission paid for in Doge 1st crypto in space 1st meme in space"", Musk said in a tweet.  #Dogecoin #ElonMusk   https://t.co/ahvvtsicxA",en,[],['https://www.indiatoday.in/world/story/spacex-accepts-dogecoin-as-payment-to-launch-lunar-mission-1800627-2021-05-10'],[],4,31,138,"['dogecoin', 'elonmusk']",[],https://twitter.com/IndiaToday/status/1391585483566714885,False,,0,,,,,,,,[],,,,
1003626956749860864,1003626956749860864,2018-06-04 08:18:07 Hora de verano central (México),2018-06-04,08:18:07,-0500,19897138,indiatoday,IndiaToday,,"Thane police today busted Crypto currency racket. According to sources, a businessman named Amit Lakhan Pal who had promised his investors of a 20% return with his own currency, is now absconding.Thane police raided the apartment from where he was operating. Report by @divyeshas  https://t.co/Tt7l6qKsgI",en,"[{'screen_name': 'divyeshas', 'name': 'divyesh singh', 'id': '175443479'}]",[],[],0,4,12,[],[],https://twitter.com/IndiaToday/status/1003626956749860864,False,,1,https://pbs.twimg.com/amplify_video_thumb/1003606824325505027/img/9HehpScEds-d9K_H.jpg,,,,,,,[],,,,
960518833067864064,960518833067864064,2018-02-05 08:21:50 Hora estándar central (México),2018-02-05,08:21:50,-0500,19897138,indiatoday,IndiaToday,,"Let us not look at Bitcoins as currency because @arunjaitley has said it's not legal tender. Let's look at them as crypto assets, says @AjeetK.  Watch #OperationBitcoin live at  https://t.co/4fqxBVUizL.  https://t.co/TzWfxr8Hmg",en,"[{'screen_name': 'arunjaitley', 'name': 'arun jaitley', 'id': '2183816041'}, {'screen_name': 'ajeetk', 'name': 'ajeet khurana', 'id': '14624558'}]",['http://bit.ly/IT_LiveTV'],[],3,16,45,['operationbitcoin'],[],https://twitter.com/IndiaToday/status/960518833067864064,False,,1,https://pbs.twimg.com/media/DVRyyFQVoAAABwb.jpg,,,,,,,[],,,,
