id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1384305215537520644,1384305215537520644,2021-04-19 19:37:37 Hora de verano central (México),2021-04-19,19:37:37,-0500,39975533,vanguardngrnews,Vanguard Newspapers,,Remittance: ABCON advocates measures to counter cryptocurrencies  https://t.co/ivpnTVVgjl #vanguardnews  https://t.co/JxdwYKIMhj,en,[],['https://www.vanguardngr.com/2021/04/remittance-abcon-advocates-measures-to-counter-cryptocurrencies/?utm_source=dlvr.it&utm_medium=twitter'],['https://pbs.twimg.com/media/EzYKQeSUUAYQCgZ.jpg'],3,0,31,['vanguardnews'],[],https://twitter.com/vanguardngrnews/status/1384305215537520644,False,,1,https://pbs.twimg.com/media/EzYKQeSUUAYQCgZ.jpg,,,,,,,[],,,,
1384299802880401420,1384299802880401420,2021-04-19 19:16:06 Hora de verano central (México),2021-04-19,19:16:06,-0500,39975533,vanguardngrnews,Vanguard Newspapers,,Remittance: ABCON advocates measures to counter cryptocurrencies  https://t.co/MyPzxTbuBx,en,[],['https://www.vanguardngr.com/2021/04/remittance-abcon-advocates-measures-to-counter-cryptocurrencies/'],[],0,2,26,[],[],https://twitter.com/vanguardngrnews/status/1384299802880401420,False,,0,,,,,,,,[],,,,
1383223698254024705,1383223698254024705,2021-04-16 20:00:03 Hora de verano central (México),2021-04-16,20:00:03,-0500,39975533,vanguardngrnews,Vanguard Newspapers,,"Turkey bans payment with cryptocurrencies, citing transaction risks  https://t.co/rrCoT9T5kU #vanguardnews  https://t.co/eLzOnswqIM",en,[],['https://www.vanguardngr.com/2021/04/turkey-bans-payment-with-cryptocurrencies-citing-transaction-risks/?utm_source=dlvr.it&utm_medium=twitter'],['https://pbs.twimg.com/media/EzIyn5CVoAAYy49.jpg'],1,5,21,['vanguardnews'],[],https://twitter.com/vanguardngrnews/status/1383223698254024705,False,,1,https://pbs.twimg.com/media/EzIyn5CVoAAYy49.jpg,,,,,,,[],,,,
1383215706007760898,1383215706007760898,2021-04-16 19:28:17 Hora de verano central (México),2021-04-16,19:28:17,-0500,39975533,vanguardngrnews,Vanguard Newspapers,,"Turkey bans payment with cryptocurrencies, citing transaction risks  https://t.co/3qgMEDNORb",en,[],['http://www.vanguardngr.com/2021/04/turkey-bans-payment-with-cryptocurrencies-citing-transaction-risks/'],[],0,12,19,[],[],https://twitter.com/vanguardngrnews/status/1383215706007760898,False,,0,,,,,,,,[],,,,
1383057232405831682,1383057232405831682,2021-04-16 08:58:34 Hora de verano central (México),2021-04-16,08:58:34,-0500,39975533,vanguardngrnews,Vanguard Newspapers,,Turkey bans payment with cryptocurrencies  https://t.co/atIR0GIivT #vanguardnews,en,[],['https://www.vanguardngr.com/2021/04/turkey-bans-payment-with-cryptocurrencies/?utm_source=dlvr.it&utm_medium=twitter'],[],3,4,21,['vanguardnews'],[],https://twitter.com/vanguardngrnews/status/1383057232405831682,False,,0,,,,,,,,[],,,,
1383054269280968705,1383054269280968705,2021-04-16 08:46:48 Hora de verano central (México),2021-04-16,08:46:48,-0500,39975533,vanguardngrnews,Vanguard Newspapers,,Turkey bans payment with cryptocurrencies  https://t.co/hnoI9n78T6,en,[],['https://www.vanguardngr.com/2021/04/turkey-bans-payment-with-cryptocurrencies/'],[],1,6,27,[],[],https://twitter.com/vanguardngrnews/status/1383054269280968705,False,,0,,,,,,,,[],,,,
1365303118142050305,1365303118142050305,2021-02-26 08:10:04 Hora estándar central (México),2021-02-26,08:10:04,-0500,39975533,vanguardngrnews,Vanguard Newspapers,,"""Cryptocurrencies in the coming years will challenge traditional banking, including reserve banking, in ways that we cannot yet imagine, so we need to be prepared for that seismic shift.""  —  VP Yemi Osinbajo. #CBNBankersVanguard",en,[],[],[],8,24,97,['cbnbankersvanguard'],[],https://twitter.com/vanguardngrnews/status/1365303118142050305,False,,0,,,,,,,,[],,,,
1358677207401459714,1358677207401459714,2021-02-08 01:21:03 Hora estándar central (México),2021-02-08,01:21:03,-0500,39975533,vanguardngrnews,Vanguard Newspapers,,"Cryptocurrencies unregulated, prone to financial crimes – CBN  https://t.co/ib8oh1ihFM #vanguardnews  https://t.co/ReQ53q33OJ",en,[],['https://www.vanguardngr.com/2021/02/cryptocurrencies-unregulated-prone-to-financial-crimes-cbn/?utm_source=dlvr.it&utm_medium=twitter'],['https://pbs.twimg.com/media/Etr9uEMVIAE4oBu.jpg'],6,6,24,['vanguardnews'],[],https://twitter.com/vanguardngrnews/status/1358677207401459714,False,,1,https://pbs.twimg.com/media/Etr9uEMVIAE4oBu.jpg,,,,,,,[],,,,
1358673023994322944,1358673023994322944,2021-02-08 01:04:26 Hora estándar central (México),2021-02-08,01:04:26,-0500,39975533,vanguardngrnews,Vanguard Newspapers,,"Cryptocurrencies unregulated, prone to financial crimes – CBN  https://t.co/m6kGVT52WO",en,[],['http://www.vanguardngr.com/2021/02/cryptocurrencies-unregulated-prone-to-financial-crimes-cbn/'],[],26,11,57,[],[],https://twitter.com/vanguardngrnews/status/1358673023994322944,False,,0,,,,,,,,[],,,,
1203229576924520448,1203229576924520448,2019-12-07 02:27:40 Hora estándar central (México),2019-12-07,02:27:40,-0500,39975533,vanguardngrnews,Vanguard Newspapers,,Bitcoin and Cryptocurrencies: More than just trading  https://t.co/KT939o1U3d #vanguardnews  https://t.co/9sWbus79Xu,en,[],['https://www.vanguardngr.com/2019/12/bitcoin-and-cryptocurrencies-more-than-just-trading/?utm_source=dlvr.it&utm_medium=twitter'],['https://pbs.twimg.com/media/ELK67GjUUAEu5eS.jpg'],0,2,6,['vanguardnews'],[],https://twitter.com/vanguardngrnews/status/1203229576924520448,False,,1,https://pbs.twimg.com/media/ELK67GjUUAEu5eS.jpg,,,,,,,[],,,,
