,Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Can_be_ignored
0,2018-04-16 19:00:00,0.25551,0.288,0.23983,0.2426,67462293.24000000,2018-04-17 18:59:59.999,17411823.57157960,42568,28228665.39000000,7281513.06137010,0
1,2018-04-17 19:00:00,0.2426,0.2646,0.24201,0.262,31328095.79000000,2018-04-18 18:59:59.999,7922134.28304330,21684,15082512.84000000,3818068.82632840,0
2,2018-04-18 19:00:00,0.26199,0.275,0.25777,0.27004,50859980.22000000,2018-04-19 18:59:59.999,13609907.89978870,32600,23934593.69000000,6408750.31190170,0
3,2018-04-19 19:00:00,0.27004,0.30442,0.26648,0.30108,71084276.49000000,2018-04-20 18:59:59.999,20270887.70351350,46506,35262790.18000000,10040840.12777730,0
4,2018-04-20 19:00:00,0.30161,0.307,0.26509,0.28668,92719842.91000000,2018-04-21 18:59:59.999,26539390.12720960,55256,43517191.79000000,12413648.37070700,0
5,2018-04-21 19:00:00,0.28669,0.2973,0.27716,0.2816,48693828.46000000,2018-04-22 18:59:59.999,13995484.40681160,31512,23214895.86000000,6679180.53730580,0
6,2018-04-22 19:00:00,0.2816,0.28867,0.28064,0.28788,34341260.85000000,2018-04-23 18:59:59.999,9788784.21676100,22695,13692447.50000000,3904591.52166740,0
7,2018-04-23 19:00:00,0.28798,0.32,0.28593,0.30853,90526059.79000000,2018-04-24 18:59:59.999,27728564.26935270,59339,43507259.85000000,13294488.19719800,0
8,2018-04-24 19:00:00,0.3085,0.31099,0.2573,0.2687,124688510.26000000,2018-04-25 18:59:59.999,34935280.91710510,75613,53116874.13000000,14847651.65233860,0
9,2018-04-25 19:00:00,0.2687,0.2939,0.255,0.29326,68109625.26000000,2018-04-26 18:59:59.999,18704063.46005310,46981,31814747.97000000,8746078.16855260,0
10,2018-04-26 19:00:00,0.29326,0.30643,0.28145,0.28445,69781321.86000000,2018-04-27 18:59:59.999,20504315.28290510,46133,34026765.74000000,10013836.69712220,0
11,2018-04-27 19:00:00,0.2844,0.36498,0.2817,0.35676,168937876.23000000,2018-04-28 18:59:59.999,56407387.72753420,103617,89831223.31000000,29871051.66850670,0
12,2018-04-28 19:00:00,0.35675,0.3866,0.3415,0.36254,162840221.99000000,2018-04-29 18:59:59.999,59607359.48185200,103067,79911394.87000000,29289779.12516260,0
13,2018-04-29 19:00:00,0.36251,0.3637,0.33,0.34145,93142615.39000000,2018-04-30 18:59:59.999,32338238.10860640,71564,40477907.58000000,14067204.94713020,0
14,2018-04-30 19:00:00,0.34145,0.36034,0.3187,0.35504,120368721.75000000,2018-05-01 18:59:59.999,40859083.99584130,71249,56496967.88000000,19249295.83064260,0
15,2018-05-01 19:00:00,0.35498,0.37586,0.345,0.37199,65457686.29000000,2018-05-02 18:59:59.999,23759298.72861260,54666,34084267.41000000,12386872.99135150,0
16,2018-05-02 19:00:00,0.37199,0.3885,0.36402,0.36716,88326409.65000000,2018-05-03 18:59:59.999,32983955.92400440,68511,37735576.74000000,14118032.42835880,0
17,2018-05-03 19:00:00,0.36683,0.36897,0.3465,0.358,56069269.37000000,2018-05-04 18:59:59.999,20199051.78382620,44209,26029367.87000000,9365192.77335090,0
18,2018-05-04 19:00:00,0.3584,0.37434,0.35771,0.36502,46962690.28000000,2018-05-05 18:59:59.999,17211963.40023110,37709,19905635.98000000,7303836.40030630,0
19,2018-05-05 19:00:00,0.36502,0.36641,0.33538,0.34654,63926868.16000000,2018-05-06 18:59:59.999,22202800.22710520,45636,27676267.84000000,9566932.91087640,0
20,2018-05-06 19:00:00,0.34599,0.3474,0.291,0.33046,64060938.79000000,2018-05-07 18:59:59.999,20855267.85060130,45899,29922663.51000000,9738982.25201350,0
21,2018-05-07 19:00:00,0.33079,0.34559,0.3163,0.32213,45105012.01000000,2018-05-08 18:59:59.999,14851982.50779050,36389,21315327.90000000,7019394.55230880,0
22,2018-05-08 19:00:00,0.32213,0.32547,0.298,0.31884,60635549.24000000,2018-05-09 18:59:59.999,18957201.22022620,40624,27673515.06000000,8653246.94053100,0
23,2018-05-09 19:00:00,0.31884,0.3221,0.291,0.29121,38210521.24000000,2018-05-10 18:59:59.999,11849062.06166730,33669,16174022.91000000,5021601.92107810,0
