,Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Can_be_ignored
0,2017-12-31 18:00:00,223.69,231.19,212.74,222.61,20221.25300000,2018-01-01 17:59:59.999,4495346.59398870,17150,9574.03964000,2128648.50494200,0
1,2018-01-01 18:00:00,222.62,256.49,222.62,247.33,63293.12934000,2018-01-02 17:59:59.999,15468084.20938890,34824,27882.52627000,6801232.76132390,0
2,2018-01-02 18:00:00,247.33,253.4,233.56,238.77,71369.27484000,2018-01-03 17:59:59.999,17455596.19375660,37685,26294.86991000,6416466.17467360,0
3,2018-01-03 18:00:00,238.89,240.0,219.38,233.0,78182.30493000,2018-01-04 17:59:59.999,17951834.03896510,43209,32637.42362000,7494880.20355790,0
4,2018-01-04 18:00:00,233.04,250.99,230.0,240.54,65010.14465000,2018-01-05 17:59:59.999,15696625.23798450,30382,31773.32633000,7684033.40150970,0
5,2018-01-05 18:00:00,240.95,315.0,238.73,275.28,100812.21370000,2018-01-06 17:59:59.999,28259590.95256040,41513,48146.90612000,13540103.10405150,0
6,2018-01-06 18:00:00,276.24,287.0,262.0,269.01,43811.61108000,2018-01-07 17:59:59.999,12078548.83517490,23777,19199.92489000,5290835.80199830,0
7,2018-01-07 18:00:00,269.01,271.82,212.74,252.65,76256.97086000,2018-01-08 17:59:59.999,19095109.75956960,33866,29853.94175000,7463440.03388410,0
8,2018-01-08 18:00:00,252.49,257.64,228.24,244.48,53921.90417000,2018-01-09 17:59:59.999,13345180.46142260,25770,24047.68111000,5959695.69280420,0
9,2018-01-09 18:00:00,244.56,248.99,225.05,247.63,70931.30085000,2018-01-10 17:59:59.999,16870783.60570080,29781,31173.20611000,7410068.00891550,0
10,2018-01-10 18:00:00,247.63,252.27,195.03,223.77,83842.47294000,2018-01-11 17:59:59.999,19073326.49101500,37597,33923.40421000,7709182.77607520,0
11,2018-01-11 18:00:00,223.76,240.45,213.01,233.11,45676.80703000,2018-01-12 17:59:59.999,10548375.58706470,22683,19364.75803000,4473975.70822690,0
12,2018-01-12 18:00:00,233.11,263.99,232.54,257.98,42811.12858000,2018-01-13 17:59:59.999,10476151.19283710,20564,20536.64911000,5021873.20889510,0
13,2018-01-13 18:00:00,257.98,271.64,222.0,234.12,62203.40257000,2018-01-14 17:59:59.999,15137840.87267710,26501,25641.01885000,6275629.38469460,0
14,2018-01-14 18:00:00,234.26,242.31,227.6,229.5,35755.94861000,2018-01-15 17:59:59.999,8398319.52401280,18021,15013.08980000,3534600.88157560,0
15,2018-01-15 18:00:00,229.5,242.0,135.67,179.28,150044.07322000,2018-01-16 17:59:59.999,28582968.27984050,49964,64065.88370000,12201667.00554840,0
16,2018-01-16 18:00:00,179.28,198.89,136.2,182.44,155640.00921000,2018-01-17 17:59:59.999,26395093.95533670,51587,72243.33500000,12288904.47763290,0
17,2018-01-17 18:00:00,183.45,202.19,170.5,186.14,98372.75595000,2018-01-18 17:59:59.999,18512748.89318030,37258,44029.86546000,8310227.41932720,0
18,2018-01-18 18:00:00,186.21,199.0,176.04,191.42,59369.45319000,2018-01-19 17:59:59.999,11209086.54687990,24967,27602.06075000,5216599.03376080,0
19,2018-01-19 18:00:00,191.44,215.0,190.67,210.4,59162.64755000,2018-01-20 17:59:59.999,12075942.50821620,24687,29006.20287000,5900659.55160940,0
