,Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Can_be_ignored
0,2020-08-05 19:00:00,0.05363,0.12,0.05363,0.05822,14196664.70000000,2020-08-06 18:59:59.999,863503.86977700,4380,5051755.90000000,309998.76242500,0
1,2020-08-06 19:00:00,0.0579,0.07594,0.05758,0.07484,51256029.90000000,2020-08-07 18:59:59.999,3502922.89500800,13602,22167768.60000000,1518143.79967100,0
2,2020-08-07 19:00:00,0.07498,0.10469,0.07259,0.10281,85765140.70000000,2020-08-08 18:59:59.999,7468578.76384300,28038,38968223.10000000,3401323.67189900,0
3,2020-08-08 19:00:00,0.10266,0.132,0.09924,0.09972,137647520.20000000,2020-08-09 18:59:59.999,15487532.97707600,49848,64492655.20000000,7274665.60941100,0
4,2020-08-09 19:00:00,0.09971,0.11224,0.09228,0.10139,71520828.90000000,2020-08-10 18:59:59.999,7238474.46926600,28561,30452375.70000000,3088054.70652600,0
5,2020-08-10 19:00:00,0.10135,0.104,0.08473,0.09057,33683534.30000000,2020-08-11 18:59:59.999,3113928.50426100,14190,14422323.20000000,1336142.12342500,0
6,2020-08-11 19:00:00,0.09057,0.10158,0.08509,0.09839,30789539.70000000,2020-08-12 18:59:59.999,2939615.19342900,12000,13731949.30000000,1315119.11573100,0
7,2020-08-12 19:00:00,0.098,0.10499,0.09054,0.09225,27932826.50000000,2020-08-13 18:59:59.999,2732518.53724500,11264,13346062.00000000,1305517.38964400,0
8,2020-08-13 19:00:00,0.09232,0.1035,0.09036,0.09529,28493547.60000000,2020-08-14 18:59:59.999,2723773.85357700,10446,14527327.30000000,1394006.37758700,0
9,2020-08-14 19:00:00,0.09532,0.1015,0.09473,0.09888,18572581.50000000,2020-08-15 18:59:59.999,1807992.33182600,7103,9181718.20000000,893549.22088400,0
10,2020-08-15 19:00:00,0.09888,0.10028,0.094,0.0986,14696458.10000000,2020-08-16 18:59:59.999,1431209.70813800,5595,6636192.80000000,647712.43176200,0
11,2020-08-16 19:00:00,0.0986,0.09988,0.09448,0.0958,13555096.70000000,2020-08-17 18:59:59.999,1321255.50399100,5804,6288956.90000000,613836.18965100,0
12,2020-08-17 19:00:00,0.0958,0.09625,0.08615,0.09022,14059910.20000000,2020-08-18 18:59:59.999,1281761.47305900,6016,6999760.10000000,636768.83820700,0
13,2020-08-18 19:00:00,0.09013,0.09163,0.08037,0.08275,9354251.10000000,2020-08-19 18:59:59.999,791939.08074700,4196,4092223.60000000,346175.67394700,0
14,2020-08-19 19:00:00,0.08291,0.09132,0.08001,0.09131,6378378.30000000,2020-08-20 18:59:59.999,547620.53400800,2869,2705714.90000000,232105.40360700,0
15,2020-08-20 19:00:00,0.09131,0.09475,0.0835,0.09378,15472080.60000000,2020-08-21 18:59:59.999,1392634.51816000,6726,7097952.30000000,638186.70027400,0
16,2020-08-21 19:00:00,0.0943,0.115,0.08578,0.0969,60642295.40000000,2020-08-22 18:59:59.999,6040837.51235900,21765,29421936.10000000,2936000.18695300,0
17,2020-08-22 19:00:00,0.0969,0.09736,0.089,0.09193,10986132.50000000,2020-08-23 18:59:59.999,1007242.49767300,4453,5834631.70000000,532713.47146200,0
18,2020-08-23 19:00:00,0.09233,0.09665,0.09065,0.09199,10238315.50000000,2020-08-24 18:59:59.999,951721.10579300,6015,4836379.70000000,449897.12945800,0
19,2020-08-24 19:00:00,0.09166,0.09364,0.08209,0.08573,5353220.20000000,2020-08-25 18:59:59.999,470089.81370600,2910,2589495.90000000,226535.43385100,0
20,2020-08-25 19:00:00,0.08573,0.08716,0.08379,0.087,4642478.30000000,2020-08-26 18:59:59.999,397531.27903600,2067,2262091.40000000,193871.17396400,0
21,2020-08-26 19:00:00,0.087,0.09473,0.086,0.09473,19387648.10000000,2020-08-27 18:59:59.999,1764526.23921900,8768,9534061.90000000,869997.47251100,0
22,2020-08-27 19:00:00,0.09446,0.1139,0.09121,0.10632,52442016.10000000,2020-08-28 18:59:59.999,5523413.79712000,20076,25415518.80000000,2679447.47007800,0
23,2020-08-28 19:00:00,0.10684,0.1217,0.10138,0.10941,37981212.30000000,2020-08-29 18:59:59.999,4181997.53793900,16414,19210588.90000000,2119469.68373000,0
24,2020-08-29 19:00:00,0.10941,0.11194,0.10169,0.10348,9883578.60000000,2020-08-30 18:59:59.999,1039554.65417800,4837,4861798.40000000,512565.08554500,0
25,2020-08-30 19:00:00,0.10346,0.10624,0.0969,0.09846,10818737.00000000,2020-08-31 18:59:59.999,1082422.54226700,5731,5430257.30000000,543632.04847800,0
26,2020-08-31 19:00:00,0.09852,0.10217,0.09628,0.10051,7376409.80000000,2020-09-01 18:59:59.999,728567.71362400,5039,3662602.40000000,361940.92330200,0
27,2020-09-01 19:00:00,0.10073,0.1055,0.0906,0.10036,11564068.70000000,2020-09-02 18:59:59.999,1151322.86266500,6739,5589308.40000000,557066.94075000,0
28,2020-09-02 19:00:00,0.10032,0.10185,0.0805,0.08238,8153790.30000000,2020-09-03 18:59:59.999,750003.44654400,6041,3569398.20000000,328025.41679900,0
29,2020-09-03 19:00:00,0.08252,0.08993,0.0803,0.08763,6705266.80000000,2020-09-04 18:59:59.999,568824.39250500,5018,3218649.50000000,273654.06002200,0
30,2020-09-04 19:00:00,0.08764,0.08977,0.07092,0.07854,6214755.80000000,2020-09-05 18:59:59.999,503461.74592500,4056,3031150.50000000,244547.62522800,0
